score,player1,player2,set1,set1t,set2,set2t,set3,set3t
2,Sewickley Soft Hands,(AWAY),,,,,,
9,Steel City Strokers,(HOME),1st Set,TB,2nd Set,TB,3rd Set,TB
Line 1,Mark Hariston,Scott Jubek ,4,,6,,6,
,Sean Rollman,Luke Glass,6,,3,,3,
Line 2,Brett Nixon,Jay Dundon,6,4,4,,,
,Walker Coggeshall,Mike Hammel,7,7,6,,,
Line 3,Clay Steup,Ian McConnell ,2,,6,5,,
,Buddy Erickson ,Andy Ellis,6,,7,7,,
Line 4,Brandon Hook,Kurt Carlson,1,,1,,,
,John Krauss,John Austin,6,,6,,,
Line 5,Victor Yates,David Grometer ,2,,0,,,
,Bob Alexander,Chris Phillips,6,,6,,,
Line 6,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
6,Sewickley Slashers,(AWAY),,,,,,
9,Blints Backscreen Big Lobs,(HOME),1st Set,TB,2nd Set,TB,3rd Set,TB
Line 1,Brandon Means,Michael McCloskey,0,,6,,2,
,Andrew Cox,Thomas Hay,6,,3,,6,
Line 2,Drew Coolidge,Brian Turk,2,,7,,2,
,Nick Mross,Zach Dixon,6,,5,,6,
Line 3,Jared Bovalino,Bill Bossong,3,,6,,5,
,Mike Quigley,Ed Zabella,6,,0,,7,
Line 4,Jack McGarry,Jason Weisser,7,7,6,2,7,7
,Jon Adams,Matt Blint,6,4,7,7,6,5
Line 5,Michael Meagher,Byron Galbraith,6,,3,,2,
,Steve Solter,Dennis Auth,2,,6,,6,
Line 6,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
3,Breakin' Ballz,(AWAY),,,,,,
12,Lemon Pound Cakes,(HOME),1st Set,TB,2nd Set,TB,3rd Set,TB
Line 1,Kumar Amin,Dylan Spangenberg,3,,2,,,
,Carmen Minella,Alex Ferraccio,6,,6,,,
Line 2,Wyatt Geller,Dan Scrabis,2,,6,,1,
,Marty O'Brien,Clayton Bouchard,6,,4,,6,
Line 3,Jack Miner,Eli Loncar,0,,6,3,,
,Aashish Jog,Michael Albaugh,6,,7,7,,
Line 4,Mark Trotta,Conor McKenna,6,,7,7,,
,Derek Stallard,Dave Riordan,2,,6,4,,
Line 5,Henry Rafoth,George Linge,1,,5,,,
,Brian Singer,Ralph Courtemanche,6,,7,,,
Line 6,Ben Yocca,Mike Holzworth,3,,1,,,
,Philip Diemert,Weston Beard,6,,6,,,
Line 7,Patrick Davis,Corbin Miller,3,,0,,,
,Keith Helman,Tyler Goodman,6,,6,,,
